epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,647.321,1.11844,0.70864,0.95123,0.73431,0.53395,0.58701,0.34356,2.04996,1.70062,1.34709,8.0695e-05,8.0695e-05,8.0695e-05
41,663.48,1.10123,0.68411,0.95232,0.65883,0.49258,0.56099,0.34487,2.0725,1.7387,1.33742,8.02e-05,8.02e-05,8.02e-05
42,679.608,1.08188,0.66507,0.94029,0.70287,0.56697,0.59988,0.3416,2.16604,1.87143,1.37898,7.9705e-05,7.9705e-05,7.9705e-05
43,695.723,1.09763,0.66475,0.94533,0.69712,0.58333,0.60513,0.34848,2.1072,1.71837,1.38113,7.921e-05,7.921e-05,7.921e-05
44,711.887,1.08077,0.65289,0.94165,0.79893,0.48444,0.55592,0.32313,2.09486,1.88807,1.3561,7.8715e-05,7.8715e-05,7.8715e-05
45,728.038,1.07045,0.65742,0.93654,0.59749,0.57407,0.54911,0.32992,2.09158,1.81679,1.37347,7.822e-05,7.822e-05,7.822e-05
46,744.198,1.05882,0.64995,0.93292,0.70604,0.41326,0.48497,0.27076,2.09493,1.90472,1.37839,7.7725e-05,7.7725e-05,7.7725e-05
47,760.355,1.05538,0.64589,0.9373,0.62338,0.50671,0.55539,0.315,2.09024,1.82365,1.34915,7.723e-05,7.723e-05,7.723e-05
48,776.42,1.04824,0.63915,0.92575,0.56055,0.55095,0.54979,0.31132,2.14989,1.8695,1.38066,7.6735e-05,7.6735e-05,7.6735e-05
49,792.527,1.03335,0.63393,0.92182,0.64816,0.61895,0.60594,0.364,2.08363,1.84114,1.37512,7.624e-05,7.624e-05,7.624e-05
50,808.641,1.03413,0.63313,0.92509,0.62444,0.57586,0.57312,0.31746,2.22117,2.05454,1.44052,7.5745e-05,7.5745e-05,7.5745e-05
51,824.776,1.02436,0.61566,0.92343,0.52834,0.53885,0.54207,0.30583,2.17348,1.85183,1.40232,7.525e-05,7.525e-05,7.525e-05
52,840.843,1.02317,0.61671,0.92202,0.76224,0.47047,0.53832,0.32084,2.1333,1.80958,1.36997,7.4755e-05,7.4755e-05,7.4755e-05
53,857.004,1.0289,0.62442,0.92135,0.71054,0.47586,0.53897,0.31159,2.15908,2.07249,1.3953,7.426e-05,7.426e-05,7.426e-05
54,873.124,1.0444,0.62994,0.92811,0.69217,0.48215,0.55397,0.31498,2.18897,1.85386,1.3924,7.3765e-05,7.3765e-05,7.3765e-05
55,889.245,1.01415,0.61535,0.917,0.6975,0.49691,0.56276,0.32555,2.20471,2.08112,1.42973,7.327e-05,7.327e-05,7.327e-05
56,905.353,0.98978,0.59311,0.90718,0.64174,0.54081,0.54726,0.33711,2.09373,1.84657,1.36015,7.2775e-05,7.2775e-05,7.2775e-05
57,921.519,1.00895,0.59267,0.913,0.64343,0.50038,0.56579,0.33822,2.10811,1.84769,1.3974,7.228e-05,7.228e-05,7.228e-05
58,937.684,0.98861,0.58855,0.91291,0.79698,0.46373,0.56242,0.33466,2.10408,1.9065,1.36561,7.1785e-05,7.1785e-05,7.1785e-05
