epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,518.885,1.19392,1.69987,0.66408,1.01948,0,0.83777,0.73359,0.8042,0.41498,0.7894,0.69305,0.71823,0.28637,1.68276,2.59419,0.9633,1.3214,0,8.713e-05,8.713e-05,8.713e-05
28,537.843,1.18437,1.66457,0.65857,1.01549,0,0.83087,0.72587,0.80429,0.42367,0.78889,0.68919,0.74952,0.31925,1.62726,2.46853,0.98363,1.28224,0,8.6635e-05,8.6635e-05,8.6635e-05
29,557.022,1.16911,1.61709,0.64605,1.00881,0,0.84847,0.73504,0.8214,0.43755,0.81714,0.69884,0.76722,0.31927,1.65822,2.41751,0.93027,1.3086,0,8.614e-05,8.614e-05,8.614e-05
30,575.909,1.12127,1.57037,0.60967,1.00296,0,0.83431,0.77027,0.82386,0.42446,0.78086,0.71622,0.72939,0.29398,1.65125,2.70218,0.9521,1.31217,0,8.5645e-05,8.5645e-05,8.5645e-05
31,594.876,1.1761,1.62295,0.62204,1.01574,0,0.78588,0.79151,0.82247,0.42368,0.7599,0.75761,0.76365,0.32147,1.65814,2.49492,0.93564,1.30978,0,8.515e-05,8.515e-05,8.515e-05
32,613.834,1.13523,1.58913,0.61182,1.00161,0,0.78392,0.79537,0.80968,0.43586,0.73948,0.75097,0.72977,0.30069,1.58574,2.50835,0.93706,1.28085,0,8.4655e-05,8.4655e-05,8.4655e-05
33,632.759,1.13996,1.58122,0.62118,1.00205,0,0.81059,0.77606,0.81287,0.41736,0.76577,0.72201,0.72693,0.29072,1.63355,2.53316,0.9687,1.30309,0,8.416e-05,8.416e-05,8.416e-05
34,651.716,1.11517,1.56298,0.59192,0.98087,0,0.82778,0.76255,0.81213,0.42297,0.79162,0.72603,0.7338,0.3025,1.61147,2.56783,0.9606,1.30481,0,8.3665e-05,8.3665e-05,8.3665e-05
35,670.665,1.10514,1.54393,0.59439,0.99097,0,0.82844,0.74517,0.81272,0.41772,0.82755,0.7027,0.76989,0.3114,1.67333,2.5777,0.98673,1.32803,0,8.317e-05,8.317e-05,8.317e-05
36,689.624,1.09003,1.5402,0.58847,0.97896,0,0.82011,0.7529,0.80579,0.4065,0.76922,0.70656,0.72047,0.2871,1.70716,2.74759,1.01424,1.34183,0,8.2675e-05,8.2675e-05,8.2675e-05
37,708.582,1.07749,1.47858,0.56599,0.9701,0,0.82049,0.7722,0.81263,0.41542,0.78504,0.73938,0.72723,0.30651,1.68372,2.56763,0.94082,1.35378,0,8.218e-05,8.218e-05,8.218e-05
38,727.596,1.07413,1.48951,0.56374,0.98233,0,0.84351,0.7278,0.80496,0.41245,0.80127,0.69112,0.72582,0.29694,1.68843,2.57969,0.96335,1.32238,0,8.1685e-05,8.1685e-05,8.1685e-05
39,746.783,1.05028,1.47352,0.54824,0.97208,0,0.80007,0.79572,0.8079,0.41594,0.74836,0.73166,0.72454,0.29232,1.69407,2.69994,0.95395,1.35514,0,8.119e-05,8.119e-05,8.119e-05
40,765.763,1.08168,1.49206,0.56417,0.97499,0,0.78873,0.76395,0.79593,0.41882,0.76977,0.72394,0.73454,0.29059,1.67929,2.63406,0.99027,1.32848,0,8.0695e-05,8.0695e-05,8.0695e-05
41,784.812,1.06244,1.47884,0.55643,0.98164,0,0.80719,0.77992,0.8136,0.41791,0.81592,0.69305,0.73746,0.29585,1.67627,2.84861,0.94327,1.3588,0,8.02e-05,8.02e-05,8.02e-05
42,803.773,1.06094,1.4846,0.54884,0.96798,0,0.81265,0.77799,0.80295,0.41593,0.77051,0.73938,0.72497,0.29566,1.67258,2.70742,0.96047,1.3386,0,7.9705e-05,7.9705e-05,7.9705e-05
43,822.903,1.00218,1.3938,0.52028,0.95382,0,0.81723,0.7855,0.80339,0.40507,0.76942,0.73359,0.717,0.28477,1.72232,2.85212,0.95103,1.36287,0,7.921e-05,7.921e-05,7.921e-05
44,841.837,1.01617,1.40897,0.5186,0.94648,0,0.81703,0.76062,0.81489,0.41358,0.74904,0.7433,0.73789,0.30843,1.70732,2.68646,0.9805,1.35436,0,7.8715e-05,7.8715e-05,7.8715e-05
45,860.812,1.01065,1.40493,0.52255,0.95847,0,0.81829,0.73897,0.81071,0.42038,0.73405,0.72465,0.73913,0.3097,1.69855,2.78644,0.97679,1.37198,0,7.822e-05,7.822e-05,7.822e-05
46,879.763,0.99862,1.37999,0.51678,0.9543,0,0.77202,0.76834,0.77964,0.39358,0.78809,0.67375,0.69967,0.28021,1.71483,2.81748,0.98246,1.34881,0,7.7725e-05,7.7725e-05,7.7725e-05
47,898.775,0.98659,1.34566,0.50288,0.94336,0,0.79202,0.74986,0.77409,0.40477,0.79032,0.69305,0.70323,0.28402,1.71065,2.91963,0.98517,1.38468,0,7.723e-05,7.723e-05,7.723e-05
